company_name,cin,amount_crore,default_year,fy_before_default,sector
Gitanjali Gems Limited,L36911MH1986PLC040689,8516,2018,2017,Gems & Jewellery
ABG Shipyard Ltd,L61200GJ1985PLC007730,4684,2017,2016,Shipbuilding
Bhushan Steel Limited,L27109DL1990PLC040690,35200,2017,2016,Steel & Metals
Era Infra Engineering,L74899DL1990PLC041350,3637,2018,2017,Infrastructure
REI Agro,L14200WB1994PLC104573,3350,2017,2016,FMCG / Foods / Agro
Winsome Diamonds and Jewellery,L36910GJ1985PLC015915,2927,2018,2017,Gems & Jewellery
Lanco Infratech Ltd,L45200TG1993PLC015545,46000,2017,2016,Infrastructure
Punj Lloyd Ltd,L74899DL1988PLC033314,13380,2019,2018,Infrastructure
Jyoti Structures Ltd,L45200MH1974PLC017494,8000,2017,2016,Infrastructure
Unity Infraprojects,L99999MH1997PLC107153,1987,2017,2016,Infrastructure
Deccan Chronicle Holdings,L22122TG2002PLC040110,1960,2017,2016,Media
Videocon Industries Ltd,L99999MH1986PLC103624,46000,2018,2017,Engineering / Manufacturing
Shri Lakshmi Cotsyn,L17122UP1988PLC009985,1887,2018,2017,Textiles
SVOGL Oil Gas and Energy,L74899DL1989PLC038542,1705,,,Oil & Gas / Energy
PC Jeweller Ltd,L36911DL2005PLC134929,3466,2023,2022,Gems & Jewellery
Hanung Toys and Textiles,L74999DL1990PLC041722,1647,2018,2017,Textiles
Sical Logistics Ltd,L51909TN1955PLC002431,1600,2021,2020,Logistics
Nakoda Limited,L17111GJ1984PLC045995,1550,2021,2020,Textiles
Pratibha Industries,L45200MH1995PLC090760,1548,2018,2017,Infrastructure
Suzlon Energy Ltd,L40100GJ1995PLC025447,7761,2019,2018,Oil & Gas / Energy
Ruchi Soya Industries Ltd,L15140MH1986PLC038536,12000,2017,2016,FMCG / Foods / Agro
Asian Star Company Ltd,L36910MH1995PLC086017,1440,2018,2017,Gems & Jewellery
Visa Steel Limited,L51109OR1996PLC004601,1396,2022,2021,Steel & Metals
Shree Ganesh Jewellery House,L36911WB2002PLC095086,1401,2018,2017,Gems & Jewellery
Parekh Aluminex,L27203MH1994PLC080732,1368,2024,2023,Engineering / Manufacturing
Jaiprakash Associates Ltd,L14106UP1995PLC019017,57190,2017,2016,Cement
Monnet Ispat & Energy Ltd,L02710CT1990PLC009826,6567,2017,2016,Steel & Metals
S Kumars Nationwide,L17120MH1990PLC058361,1137,2018,2017,Textiles
Shree Renuka Sugars Limited,L01542KA1995PLC019046,5563,2023,2022,FMCG / Foods / Agro
Gammon India Ltd,L74999DL1922PLC000997,15000,2017,2016,Infrastructure
Kingfisher Airlines,L85110KA1995PLC018045,1021,2015,2014,Travel / Aviation / Hospitality
Alok Industries Ltd,L17110DN1986PLC000334,30000,2017,2016,Textiles
Moser Baer India,L51909DL1983PLC015418,977,2017,2016,Engineering / Manufacturing
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,1300,2024,2023,FMCG / Foods / Agro
SpiceJet Ltd,L51909DL1984PLC288239,1500,2024,2023,Travel / Aviation / Hospitality
Housing Development and Infra,L70100MH1996PLC101379,922,2019,2018,Real Estate
First Leasing Co of India,L65910TN1973PLC006423,912,,,NBFC / Leasing
PSL Limited,L67120DD1987PLC002395,910,2019,2018,Engineering / Manufacturing
Varun Industries,L28990MH1996PLC097945,868,2017,2016,Steel & Metals
IVRCL Limited,L45201AP1987PLC007959,842,2017,2016,Infrastructure
Kwality Ltd,L74899DL1992PLC255519,1900,2018,2017,FMCG / Foods / Agro
C Mahendra Exports Limited,L27205MH2007PLC166717,795,2022,2021,Gems & Jewellery
Cox & Kings Limited,L63040MH1939PLC011352,794,2019,2018,Travel / Aviation / Hospitality
Surya Pharmaceutical,L24232DL1992PLC227186,792,2018,2017,Pharma
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,400,2017,2016,Pharma
Jaypee Infratech Ltd,L45203UP2007PLC033119,7936,2017,2016,Infrastructure
Metalyst Forgings,L28910MH1977PLC019569,681,2017,2016,Engineering / Manufacturing
JVL Agro Industries,L15140UP1989PLC011396,678,2019,2018,FMCG / Foods / Agro
Mawana Sugars Ltd,L15421DL2002PLC118184,500,2024,2023,FMCG / Foods / Agro
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,10391,2019,2018,Infrastructure
