company_name,cin,sector,cohort,financial_year,engine_probability,engine_score_0_100,engine_risk_band,audit_probability,audit_score_0_100,audit_risk_band,engine_audit_gap,model_alignment,rule_flag_count,critical_rule_count,decision_bucket,latest_overall_risk_percentile,latest_sector_risk_percentile,latest_engine_rank,imputed_feature_fraction,top_reasons,rule_flags_triggered,support_summary,engine_model_name,audit_model_name,engine_model_version,audit_model_version,engine_threshold,audit_threshold,engine_class,audit_class
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,FMCG / Foods / Agro,defaulter,2023,0.7522079177745526,75.22,High,0.737623234618451,73.76,High,0.014584683156101619,agree,4,2,urgent_review,100.0,100.0,1,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
REI Agro,L14200WB1994PLC104573,FMCG / Foods / Agro,defaulter,2016,0.7522032631265149,75.22,High,0.7387286819020332,73.87,High,0.013474581224481641,agree,5,2,urgent_review,99.0,85.71,2,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Unity Infraprojects,L99999MH1997PLC107153,Infrastructure,defaulter,2016,0.7522010608479259,75.22,High,0.7386645475505969,73.87,High,0.013536513297329078,agree,8,4,urgent_review,98.0,100.0,3,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
IVRCL Limited,L45201AP1987PLC007959,Infrastructure,defaulter,2016,0.7521966615934788,75.22,High,0.7342177265866229,73.42,High,0.01797893500685588,agree,8,4,urgent_review,97.0,94.12,4,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Visa Steel Limited,L51109OR1996PLC004601,Steel & Metals,defaulter,2021,0.7521908326812532,75.22,High,0.7383736060794852,73.84,High,0.013817226601767985,agree,6,2,urgent_review,96.0,100.0,5,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Shree Renuka Sugars Limited,L01542KA1995PLC019046,FMCG / Foods / Agro,defaulter,2022,0.7521865858974145,75.22,High,0.73246409847613,73.25,High,0.019722487421284463,agree,3,1,urgent_review,95.0,71.43,6,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow trend over the available years is negative. | Borrowings trend over the available years is increasing.",excessive_leverage|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 3 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow trend over the available years is negative.; Borrowings trend over the available years is increasing.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Moser Baer India,L51909DL1983PLC015418,Engineering / Manufacturing,defaulter,2016,0.7521850078478715,75.22,High,0.7387286772535053,73.87,High,0.013456330594366128,agree,6,2,urgent_review,94.0,100.0,7,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Era Infra Engineering,L74899DL1990PLC041350,Infrastructure,defaulter,2017,0.752183726167995,75.22,High,0.7386161068895327,73.86,High,0.013567619278462284,agree,4,2,urgent_review,93.0,88.24,8,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Monnet Ispat & Energy Ltd,L02710CT1990PLC009826,Steel & Metals,defaulter,2016,0.7521646223300682,75.22,High,0.7362465282127383,73.62,High,0.015918094117329917,agree,7,3,urgent_review,92.0,87.5,9,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
C Mahendra Exports Limited,L27205MH2007PLC166717,Gems & Jewellery,defaulter,2015,0.7521617379376481,75.22,High,0.737206991885542,73.72,High,0.014954746052106116,agree,9,4,urgent_review,91.0,100.0,10,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
