company_name,cin,sector,cohort,financial_year,engine_probability,engine_score_0_100,engine_risk_band,audit_probability,audit_score_0_100,audit_risk_band,engine_audit_gap,model_alignment,rule_flag_count,critical_rule_count,decision_bucket,overall_risk_percentile,sector_risk_percentile,sector_year_risk_percentile,imputed_feature_fraction,top_reasons,rule_flags_triggered,support_summary,engine_model_name,audit_model_name,engine_model_version,audit_model_version,engine_threshold,audit_threshold,engine_class,audit_class,engine_rank_overall
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,FMCG / Foods / Agro,defaulter,2023,0.7522079177745526,75.22,High,0.737623234618451,73.76,High,0.014584683156101619,agree,4,2,urgent_review,100.0,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,1
REI Agro,L14200WB1994PLC104573,FMCG / Foods / Agro,defaulter,2015,0.7522041308313266,75.22,High,0.7387286826069315,73.87,High,0.01347544822439517,agree,7,3,urgent_review,99.67,95.24,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Operating cash flow is negative despite positive revenue. | Net profit margin is negative.",weak_interest_coverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Operating cash flow is negative despite positive revenue.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,2
REI Agro,L14200WB1994PLC104573,FMCG / Foods / Agro,defaulter,2016,0.7522032631265149,75.22,High,0.7387286819020332,73.87,High,0.013474581224481641,agree,5,2,urgent_review,99.33,90.48,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,3
Unity Infraprojects,L99999MH1997PLC107153,Infrastructure,defaulter,2016,0.7522010608479259,75.22,High,0.7386645475505969,73.87,High,0.013536513297329078,agree,8,4,urgent_review,99.0,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,4
Visa Steel Limited,L51109OR1996PLC004601,Steel & Metals,defaulter,2019,0.7521970463513262,75.22,High,0.7299909055142156,73.0,High,0.02220614083711059,agree,6,3,urgent_review,98.67,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,5
IVRCL Limited,L45201AP1987PLC007959,Infrastructure,defaulter,2016,0.7521966615934788,75.22,High,0.7342177265866229,73.42,High,0.01797893500685588,agree,8,4,urgent_review,98.33,98.04,94.12,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,6
Visa Steel Limited,L51109OR1996PLC004601,Steel & Metals,defaulter,2020,0.752195521821569,75.22,High,0.736827928628396,73.68,High,0.015367593193173046,agree,8,3,urgent_review,98.0,95.83,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,7
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,FMCG / Foods / Agro,defaulter,2022,0.7521931709241024,75.22,High,0.7375335009115226,73.75,High,0.01465967001257984,agree,4,2,urgent_review,97.67,85.71,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,8
Visa Steel Limited,L51109OR1996PLC004601,Steel & Metals,defaulter,2021,0.7521908326812532,75.22,High,0.7383736060794852,73.84,High,0.013817226601767985,agree,6,2,urgent_review,97.33,91.67,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,9
Shree Renuka Sugars Limited,L01542KA1995PLC019046,FMCG / Foods / Agro,defaulter,2021,0.7521883096655559,75.22,High,0.734706463644275,73.47,High,0.01748184602128089,agree,4,2,urgent_review,97.0,80.95,100.0,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue. | Operating cash flow trend over the available years is negative.",excessive_leverage|negative_operating_cash_flow|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.; Operating cash flow trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,10
