company_name,cohort,rows_with_missing,missing_cells,distinct_missing_fields,missing_columns
Kalyan Jewellers India Limited,non_defaulter,3,56,20,auditor_name|capex|cash_and_equivalents|cff|cfi|cfo|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|net_cash_change|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Kingfisher Airlines,defaulter,3,49,17,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count|tax_expense
Videocon Industries Ltd,defaulter,3,49,17,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count|tax_expense
Asian Star Company Ltd,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Bajaj Finance Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Britannia Industries Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Carborundum Universal Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Cox & Kings Limited,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Dilip Buildcon Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Dr Reddy's Laboratories Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Era Infra Engineering,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
First Leasing Co of India,defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
Grasim Industries Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
HT Media Limited,non_defaulter,3,48,16,auditor_name|capex|cash_and_equivalents|contingent_liabilities_amount|current_assets|current_liabilities|emphasis_of_matter|fraud_reported|going_concern_uncertainty|inventory|opinion_type|pending_legal_cases_count|promoter_holding_pct|receivables|related_party_transactions_amount|rpt_count
