company_name,cin,financial_year,cohort,sector,missing_count,missing_columns
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,1,capex
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,1,capex
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1,capex
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,4,capex|opinion_type|auditor_name|promoter_holding_pct
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,4,capex|opinion_type|auditor_name|promoter_holding_pct
Asian Star Company Ltd,L36910MH1995PLC086017,2017,defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Asian Star Company Ltd,L36910MH1995PLC086017,2016,defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Bhushan Steel Limited,L27109DL1990PLC040690,2016,defaulter,Steel & Metals,3,opinion_type|auditor_name|contingent_liabilities_amount
Bhushan Steel Limited,L27109DL1990PLC040690,2015,defaulter,Steel & Metals,3,auditor_name|contingent_liabilities_amount|promoter_holding_pct
Bhushan Steel Limited,L27109DL1990PLC040690,2014,defaulter,Steel & Metals,3,opinion_type|auditor_name|contingent_liabilities_amount
Cox & Kings Limited,L63040MH1939PLC011352,2018,defaulter,Travel / Aviation / Hospitality,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Cox & Kings Limited,L63040MH1939PLC011352,2017,defaulter,Travel / Aviation / Hospitality,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Cox & Kings Limited,L63040MH1939PLC011352,2016,defaulter,Travel / Aviation / Hospitality,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Deccan Chronicle Holdings,L22122TG2002PLC040110,2012,defaulter,Media,4,capex|opinion_type|auditor_name|promoter_holding_pct
Deccan Chronicle Holdings,L22122TG2002PLC040110,2011,defaulter,Media,4,capex|opinion_type|auditor_name|promoter_holding_pct
Deccan Chronicle Holdings,L22122TG2002PLC040110,2010,defaulter,Media,5,capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2014,defaulter,Pharma,4,capex|opinion_type|auditor_name|promoter_holding_pct
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2013,defaulter,Pharma,4,capex|opinion_type|auditor_name|promoter_holding_pct
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2012,defaulter,Pharma,4,capex|opinion_type|auditor_name|promoter_holding_pct
Era Infra Engineering,L74899DL1990PLC041350,2017,defaulter,Infrastructure,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Era Infra Engineering,L74899DL1990PLC041350,2016,defaulter,Infrastructure,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Era Infra Engineering,L74899DL1990PLC041350,2015,defaulter,Infrastructure,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Gammon India Ltd,L74999DL1922PLC000997,2017,defaulter,Infrastructure,4,capex|opinion_type|auditor_name|promoter_holding_pct
Gammon India Ltd,L74999DL1922PLC000997,2016,defaulter,Infrastructure,4,capex|opinion_type|auditor_name|promoter_holding_pct
Gammon India Ltd,L74999DL1922PLC000997,2014,defaulter,Infrastructure,4,capex|opinion_type|auditor_name|promoter_holding_pct
Gitanjali Gems Limited,L36911MH1986PLC040689,2017,defaulter,Gems & Jewellery,1,capex
Gitanjali Gems Limited,L36911MH1986PLC040689,2016,defaulter,Gems & Jewellery,2,capex|opinion_type
Gitanjali Gems Limited,L36911MH1986PLC040689,2015,defaulter,Gems & Jewellery,2,capex|opinion_type
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,2018,defaulter,Infrastructure,3,capex|auditor_name|contingent_liabilities_amount
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,2017,defaulter,Infrastructure,3,capex|auditor_name|contingent_liabilities_amount
