company_name,cin,model_name,model_version,latest_financial_year,financial_year,ml_probability,model_threshold,ml_class,risk_band,rule_flag_count,rule_flags_triggered,top_reasons,support_summary,framing_message,imputed_feature_fraction
ABG Shipyard Ltd,L61200GJ1985PLC007730,hist_gradient_boosting,tier1a_v1,2016,2014,0.7513238028086736,0.39999999999999986,1,High,8,weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.","ML probability 0.751 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,hist_gradient_boosting,tier1a_v1,2016,2015,0.7518057636257858,0.39999999999999986,1,High,10,weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.","ML probability 0.752 against threshold 0.400. 10 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
ABG Shipyard Ltd,L61200GJ1985PLC007730,hist_gradient_boosting,tier1a_v1,2016,2016,0.752130758736122,0.39999999999999986,1,High,8,weak_interest_coverage|weak_liquidity|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Operating cash flow is negative despite positive revenue.","ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Operating cash flow is negative despite positive revenue.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Alok Industries Ltd,L17110DN1986PLC000334,hist_gradient_boosting,tier1a_v1,2016,2013,0.32841341478902014,0.39999999999999986,0,High,5,excessive_leverage|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"Debt-to-equity is above 2, indicating elevated leverage. | Contingent liabilities exceed 50% of net worth. | Revenue trend over the available years is negative.","ML probability 0.328 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Contingent liabilities exceed 50% of net worth.; Revenue trend over the available years is negative.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.3333333333333333
Alok Industries Ltd,L17110DN1986PLC000334,hist_gradient_boosting,tier1a_v1,2016,2015,0.3288831313598158,0.39999999999999986,0,High,4,excessive_leverage|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"Debt-to-equity is above 2, indicating elevated leverage. | Revenue trend over the available years is negative. | Operating cash flow trend over the available years is negative.","ML probability 0.329 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Revenue trend over the available years is negative.; Operating cash flow trend over the available years is negative.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Alok Industries Ltd,L17110DN1986PLC000334,hist_gradient_boosting,tier1a_v1,2016,2016,0.658612489983262,0.39999999999999986,1,High,9,weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.","ML probability 0.659 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,hist_gradient_boosting,tier1a_v1,2017,2015,0.7519482777140187,0.39999999999999986,1,High,0,,,ML probability 0.752 against threshold 0.400. No explicit rule-based red flags were triggered.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,hist_gradient_boosting,tier1a_v1,2017,2016,0.7516340438448685,0.39999999999999986,1,High,0,,,ML probability 0.752 against threshold 0.400. No explicit rule-based red flags were triggered.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Asian Star Company Ltd,L36910MH1995PLC086017,hist_gradient_boosting,tier1a_v1,2017,2017,0.7390439956626309,0.39999999999999986,1,High,0,,,ML probability 0.739 against threshold 0.400. No explicit rule-based red flags were triggered.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Bhushan Steel Limited,L27109DL1990PLC040690,hist_gradient_boosting,tier1a_v1,2016,2014,0.7406229475650606,0.39999999999999986,1,High,5,excessive_leverage|weak_liquidity|qualified_audit_signal|declining_cash_flow_trend|rising_borrowings_trend,"Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit. | A qualified, adverse, or disclaimer audit opinion was detected.","ML probability 0.741 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.; A qualified, adverse, or disclaimer audit opinion was detected.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Bhushan Steel Limited,L27109DL1990PLC040690,hist_gradient_boosting,tier1a_v1,2016,2015,0.7433319182156555,0.39999999999999986,1,High,9,weak_interest_coverage|excessive_leverage|weak_liquidity|negative_profit_margin|qualified_audit_signal|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.","ML probability 0.743 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Bhushan Steel Limited,L27109DL1990PLC040690,hist_gradient_boosting,tier1a_v1,2016,2016,0.7498371125555043,0.39999999999999986,1,High,11,weak_interest_coverage|excessive_leverage|weak_liquidity|negative_operating_cash_flow|negative_profit_margin|qualified_audit_signal|large_contingent_liabilities|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.","ML probability 0.750 against threshold 0.400. 11 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Cox & Kings Limited,L63040MH1939PLC011352,hist_gradient_boosting,tier1a_v1,2018,2016,0.3353816931119083,0.39999999999999986,0,Medium,3,declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,Revenue trend over the available years is negative. | Operating cash flow trend over the available years is negative. | Borrowings trend over the available years is increasing.,ML probability 0.335 against threshold 0.400. 3 rule-based red flag(s) were triggered. Key reasons: Revenue trend over the available years is negative.; Operating cash flow trend over the available years is negative.; Borrowings trend over the available years is increasing.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Cox & Kings Limited,L63040MH1939PLC011352,hist_gradient_boosting,tier1a_v1,2018,2017,0.39745913943897915,0.39999999999999986,0,High,4,negative_operating_cash_flow|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,Operating cash flow is negative despite positive revenue. | Revenue trend over the available years is negative. | Operating cash flow trend over the available years is negative.,ML probability 0.397 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Operating cash flow is negative despite positive revenue.; Revenue trend over the available years is negative.; Operating cash flow trend over the available years is negative.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
Cox & Kings Limited,L63040MH1939PLC011352,hist_gradient_boosting,tier1a_v1,2018,2018,0.4007679354850794,0.39999999999999986,1,High,4,negative_operating_cash_flow|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,Operating cash flow is negative despite positive revenue. | Revenue trend over the available years is negative. | Operating cash flow trend over the available years is negative.,ML probability 0.401 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Operating cash flow is negative despite positive revenue.; Revenue trend over the available years is negative.; Operating cash flow trend over the available years is negative.,This score estimates how closely the company's financial pattern resembles historical wilful defaulter cases in the training dataset.,0.0
